Scenario,Round,Type,L2_Norm,Cosine_Sim,Weight
FedAvg,20,Malicious,714.9504,0.07350509,0.1
FedAvg,21,Benign,15.812275,0.8612899,0.1
FedAvg,21,Benign,15.815862,0.86148787,0.1
FedAvg,21,Benign,15.813442,0.83837026,0.1
FedAvg,21,Benign,15.797238,0.8620732,0.1
FedAvg,21,Benign,15.808271,0.8373847,0.1
FedAvg,21,Benign,15.811017,0.6425296,0.1
FedAvg,21,Benign,15.824594,0.8765041,0.1
FedAvg,21,Malicious,799.0137,-0.061654866,0.1
FedAvg,21,Malicious,799.0033,-0.06164951,0.1
FedAvg,21,Malicious,799.01294,-0.06164832,0.1
FedAvg,22,Benign,15.821728,0.7293579,0.1
FedAvg,22,Benign,15.796535,0.73028743,0.1
FedAvg,22,Benign,15.829109,0.7465435,0.1
FedAvg,22,Benign,15.791283,0.6528632,0.1
FedAvg,22,Benign,15.800282,0.6933679,0.1
FedAvg,22,Benign,15.78215,0.69045365,0.1
FedAvg,22,Malicious,778.8345,0.15464881,0.1
FedAvg,22,Malicious,778.83093,0.15466222,0.1
FedAvg,22,Malicious,778.8226,0.15464914,0.1
FedAvg,22,Malicious,778.84033,0.1546515,0.1
FedAvg,23,Benign,15.813646,0.79360247,0.1
FedAvg,23,Benign,15.816605,0.88656104,0.1
FedAvg,23,Benign,15.806481,0.8761643,0.1
FedAvg,23,Benign,15.795631,0.9141059,0.1
FedAvg,23,Benign,15.810392,0.9200723,0.1
FedAvg,23,Benign,15.794345,0.8181778,0.1
FedAvg,23,Benign,15.806745,0.7986853,0.1
FedAvg,23,Benign,15.800467,0.8909672,0.1
FedAvg,23,Benign,15.80275,0.89348483,0.1
FedAvg,23,Malicious,894.1929,-0.6789789,0.1
FedAvg,24,Benign,15.800718,0.72005177,0.1
FedAvg,24,Benign,15.814569,0.74457985,0.1
FedAvg,24,Benign,15.813832,0.8256862,0.1
FedAvg,24,Benign,15.79401,0.84073347,0.1
FedAvg,24,Benign,15.807024,0.65305424,0.1
FedAvg,24,Benign,15.808827,0.8093246,0.1
FedAvg,24,Benign,15.793024,0.81833315,0.1
FedAvg,24,Malicious,774.0944,0.019445742,0.1
FedAvg,24,Malicious,774.0872,0.019427761,0.1
FedAvg,24,Malicious,774.09784,0.0194369,0.1
FedAvg,25,Benign,15.812401,0.7151344,0.1
FedAvg,25,Benign,15.809201,0.8959578,0.1
FedAvg,25,Benign,15.809749,0.8440445,0.1
FedAvg,25,Benign,15.819198,0.92034423,0.1
FedAvg,25,Benign,15.80973,0.89566344,0.1
FedAvg,25,Benign,15.809086,0.9063003,0.1
FedAvg,25,Benign,15.812028,0.75123894,0.1
FedAvg,25,Benign,15.805589,0.82624716,0.1
FedAvg,25,Benign,15.814221,0.9065868,0.1
FedAvg,25,Benign,15.802331,0.8870344,0.1
FedAvg,26,Benign,15.819353,0.86311626,0.1
FedAvg,26,Benign,15.814507,0.8815899,0.1
FedAvg,26,Benign,15.818067,0.86590135,0.1
FedAvg,26,Benign,15.814838,0.890985,0.1
FedAvg,26,Benign,15.794196,0.88387823,0.1
FedAvg,26,Benign,15.808376,0.86358523,0.1
FedAvg,26,Benign,15.815001,0.8001894,0.1
FedAvg,26,Benign,15.819401,0.8722687,0.1
FedAvg,26,Malicious,633.2789,-0.28863284,0.1
FedAvg,26,Malicious,633.27,-0.28863472,0.1
FedAvg,27,Benign,15.800102,0.8357205,0.1
FedAvg,27,Benign,15.810051,0.8182441,0.1
FedAvg,27,Benign,15.830884,0.8291566,0.1
FedAvg,27,Benign,15.804212,0.8258532,0.1
FedAvg,27,Benign,15.824102,0.7962212,0.1
FedAvg,27,Benign,15.818182,0.7215484,0.1
FedAvg,27,Malicious,809.3957,0.26156747,0.1
FedAvg,27,Malicious,809.3871,0.26157078,0.1
FedAvg,27,Malicious,809.3977,0.2615621,0.1
FedAvg,27,Malicious,809.403,0.26155663,0.1
FedAvg,28,Benign,15.809719,0.9061729,0.1
FedAvg,28,Benign,15.801855,0.9090768,0.1
FedAvg,28,Benign,15.795615,0.8973458,0.1
FedAvg,28,Benign,15.807992,0.9045626,0.1
FedAvg,28,Benign,15.796793,0.8001739,0.1
FedAvg,28,Benign,15.807794,0.9060283,0.1
FedAvg,28,Benign,15.804048,0.87991405,0.1
FedAvg,28,Malicious,942.10406,-0.6027957,0.1
FedAvg,28,Malicious,942.10736,-0.60278577,0.1
FedAvg,28,Malicious,942.1136,-0.6027856,0.1
FedAvg,29,Benign,15.801062,0.45215565,0.1
FedAvg,29,Benign,15.783567,0.50576806,0.1
FedAvg,29,Benign,15.79728,0.43859676,0.1
FedAvg,29,Benign,15.8026705,0.75621897,0.1
FedAvg,29,Benign,15.807791,0.42489225,0.1
FedAvg,29,Benign,15.795524,0.49881762,0.1
FedAvg,29,Malicious,763.1657,-0.062552646,0.1
FedAvg,29,Malicious,763.1592,-0.06254914,0.1
FedAvg,29,Malicious,763.17267,-0.06255649,0.1
FedAvg,29,Malicious,763.1586,-0.06256534,0.1
Krum,0,Benign,4.992929,0.20914403,0.2
Krum,0,Benign,4.9927073,0.20140293,0.2
Krum,0,Benign,5.0071254,0.2132496,0.0
Krum,0,Benign,5.0154753,0.20726496,0.0
Krum,0,Benign,4.9920616,0.27488813,0.0
Krum,0,Benign,4.979019,0.20961154,0.2
Krum,0,Benign,4.9987106,0.2769983,0.2
Krum,0,Benign,5.0051646,0.21924105,0.0
Krum,0,Benign,4.9848604,0.21617307,0.2
Krum,0,Malicious,674.86285,-0.02367758,0.0
Krum,1,Benign,4.984817,0.2228685,0.2
Krum,1,Benign,4.992159,0.22706902,0.2
Krum,1,Benign,4.9967723,0.0752081,0.0
Krum,1,Benign,4.989621,0.07796731,0.2
Krum,1,Benign,4.9880624,0.07522585,0.0
Krum,1,Benign,4.9957094,0.07632513,0.2
Krum,1,Benign,4.9814916,0.073993504,0.2
